platform,ad_date,total_spends,total_impressions,total_clicks,total_unique_clicks,cpm,ctr,unique ctr
facebook,16-05-21,42523.80526,378839,13303,8458,112.24769693722135,3.511518085519178,2.232610686861701
facebook,17-05-21,45635.947453,400356,13339,8844,113.98841893964372,3.3317847116066703,2.2090339597757995
facebook,18-05-21,46846.68231900001,376163,12968,8350,124.53825155318307,3.447441667574961,2.2197823815739453
facebook,19-05-21,42496.103329,364161,13894,8873,116.69592111456195,3.815345410409132,2.4365596535598266
facebook,20-05-21,43617.399999999994,345738,11957,7674,126.1573792872059,3.458399134604816,2.21959981257484
facebook,21-05-21,37871.243167,311694,11166,6905,121.50135442774004,3.5823596219368996,2.2153137371909626
facebook,22-05-21,40727.645115,306827,10722,6880,132.73813945643636,3.494477343910412,2.2423059248371233
facebook,23-05-21,42514.63283,315443,10612,6992,134.777544057088,3.3641577083656955,2.2165652748674085
facebook,24-05-21,41474.771642,300702,10149,6745,137.9264908181522,3.375102260709939,2.243084515566907
facebook,25-05-21,45151.010127999994,328157,11142,7291,137.5896602175178,3.3953260177293187,2.221802368988015
facebook,26-05-21,42122.589554000006,312904,10884,7043,134.61825209648967,3.4783831462685044,2.250850100989441
facebook,27-05-21,37492.14110100001,279355,10317,6772,134.20966548298765,3.693150292638399,2.4241556442519374
facebook,28-05-21,43054.749738000006,317950,11779,7664,135.41358621795882,3.7046705456832836,2.410441893379462
facebook,29-05-21,36756.717448999996,269932,10459,6765,136.1702852903694,3.874679548923433,2.5061867433279494
facebook,30-05-21,37498.95619,267491,10219,6523,140.18773039092903,3.820315449865603,2.4385867188054924
facebook,31-05-21,42692.547054999995,324755,11099,7116,131.46078445289524,3.417653307878247,2.1911902819048206
